reviewText,Sentiment
Just wish there were more USB ports.,negative
"I love my Apple, it is quick and easy to use.",positive
Doesn't have touch screen but I have a tablet so that wasn't so important.,neutral
The newer MacBook that I have purchased is one of the best computers.,positive
"Needed a 2 usb adapt. for network plug, no problem.",neutral
THe perfect spot.,positive
I would like at least a 4 hr. battery life.,negative
i spent eight hundred dollars from a giant paper weight that looks good on a bus.,neutral
The one thing I wish it had was a detailed hardcopy manuel.,negative
"The lobster knuckles (special of the day) were ok, but pretty tasteless.",neutral
"My laptop was easy to set-up, and I've had no problems to date.",positive
You will not regret buying such a great thing like this!,positive
Don't waste money on decor.,neutral
i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,positive
Prices too high for this cramped and unappealing resturant.,negative
So i would not reccomend anyone buying this computer,negative
This place is always packed.,neutral
Never been hacked.,positive
"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",neutral
i love margherita pizza – i looove east village pizza,positive
"The service is ok, some of the people didn't get what they asked for.",neutral
"Maitre-D-""Eat and get out""",negative
If this is an improvement in Customer Service then I would hate too see what it was before!,negative
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",positive
The food arrived in about 15 minutes.,neutral
"great food, great wine list, great service in a great neighborhood...",positive
They are loud and clunky but I figured I'd get used to it.,negative
So to communicate I need to wear ear plugs or a headset with a built-in mike.,negative
You can get a table without a reservation if you get there early I they don't make you by bottles.,positive
"Service was just ok, it is not what you'd expect for $500.",negative
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",neutral
I started out with a Bombay beer which was big enough for two.,positive
I HAVE NEVER EVER HAD SUCH AN UNPLEASANT EXPERIENCE.,negative
"Food was just average...if they lowered the prices just a bit, it would be a bigger draw.",neutral
This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever.,negative
"Food took some time to prepare, all worth waiting for.",neutral
It does make a little noise but that's alright as it's not too much.,neutral
The display is good quality.,positive
Sauce was watery and the food didn't have much flavor.,negative
It's a bummer and one out of five is being kind.,negative
It has some bloat wear that I wish weren't there.,negative
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",neutral
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,positive
"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.",neutral
"Best Indian Chinese in the city, by far!",positive
"Going to Bark is always worth the train ride, and will make your tongue and belly very happy!",positive
"The bibimbap was average, but the stone bowl wasn't even close to sizzling.",neutral
The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,neutral
Even for a 4GB RAM it barely chugs with 3 tabs open.,neutral
"I love this computer, this is my first ever Mac (I'm 21) and it took a little while to switch over from the OS I was used to, but it was a fast learning curve.",positive
Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,negative
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",neutral
Not bad for the price.,neutral
"The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.",positive
They are asking me to ship the unit back to fix it at their site.,neutral
"So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first...",negative
"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",positive
I have only had PCs with Windows before so this takes a little getting use to.,neutral
Service is average.,neutral
I have been going back again and again.,positive
"Also, the touchpad is almost 'sticky', which kind of defeats the purpose of a touchpad.",negative
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",negative
Love the computer.,positive
Peformance is good for the price.,neutral
It is also extremely well priced.,positive
Works at a decent speed.,neutral
"Not super fancy, but not super expensive either.",neutral
"the key bindings take a little getting used to, but have loved the Macbook Pro.",neutral
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",negative
"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",positive
the i3 processor doesn't seem to run hot and the fan rarely turns on.,positive
There is nothing to complain about the system.,positive
"I was there for brunch recently, and we were tag teamed by a waitress and a waiter.",negative
"So i gave this 4 stars but only because of the poor picture quality, other than that it is a great buy!",negative
Cheese plate is a varied delight and great bargain at $10.,positive
