domain,review_id,sentence_id,text,aspect,polarity,label
laptop,79,79:1,This computer is absolutely AMAZING!!!,LAPTOP#GENERAL,positive,2
laptop,79,79:2,10 plus hours of battery...,BATTERY#OPERATION_PERFORMANCE,positive,2
laptop,79,79:3,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive,2
laptop,79,79:3,super fast processor and really nice graphics card..,GRAPHICS#GENERAL,positive,2
laptop,79,79:4,and plenty of storage with 250 gb(though I will upgrade this and the ram..),HARD_DISC#DESIGN_FEATURES,positive,2
laptop,79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,79,79:5,This computer is really fast and I'm shocked as to how easy it is to get used to...,LAPTOP#USABILITY,positive,2
laptop,79,79:6,I've only had mine a day but I'm already used to it...,LAPTOP#USABILITY,positive,2
laptop,79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,LAPTOP#PORTABILITY,positive,2
laptop,79,79:8,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,CPU#OPERATION_PERFORMANCE,positive,2
laptop,10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#GENERAL,positive,2
laptop,10,10:0,the laptop was really good and it goes really fast just the way i thought it would of run.,LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,10,10:1,i would really recommend to any person out there to get this laptop cause its really worth it.,LAPTOP#GENERAL,positive,2
laptop,10,10:2,and its really cheap and you wont regret buying it.,LAPTOP#PRICE,positive,2
laptop,10,10:2,and its really cheap and you wont regret buying it.,LAPTOP#GENERAL,positive,2
laptop,264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#PORTABILITY,positive,2
laptop,264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#QUALITY,positive,2
laptop,264,264:1,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",LAPTOP#USABILITY,positive,2
laptop,264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#DESIGN_FEATURES,positive,2
laptop,264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#PORTABILITY,positive,2
laptop,264,264:2,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.",LAPTOP#MISCELLANEOUS,positive,2
laptop,264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#MISCELLANEOUS,positive,2
laptop,264,264:3,I highly recommend this computer for students looking for a solid machine to get them through college.,LAPTOP#QUALITY,positive,2
laptop,264,264:4,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",OS#DESIGN_FEATURES,positive,2
laptop,24,24:0,Oh my goodness-I am not a happy camper.,LAPTOP#GENERAL,negative,0
laptop,24,24:1,My HP is very heavy.,LAPTOP#DESIGN_FEATURES,negative,0
laptop,24,24:2,Not easy to carry.,LAPTOP#PORTABILITY,negative,0
laptop,24,24:3,The battery has never worked well.,BATTERY#QUALITY,negative,0
