reviewText,Sentiment,AspectTerms
"The Macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",positive,LAPTOP-MISCELLANEOUS
We didn't look like the other patrons in there so unfortunately I think that may have been part of the problem.,negative,RESTAURANT-MISCELLANEOUS
"I read reviews that called the restaurant too expensive and I thought to myself, but may be it is worth it.",negative,RESTAURANT-PRICES
You can get a table without a reservation if you get there early I they don't make you by bottles.,positive,SERVICE-GENERAL
I also travel with it and it never gives me any problems.,positive,LAPTOP-PORTABILITY
Glad it has the DVD drive.,positive,LAPTOP-DESIGN_FEATURES
I'd definitely go back again.,positive,RESTAURANT-GENERAL
"I love its solid build, light wt and excellent battery life (for now).",positive,BATTERY-OPERATION_PERFORMANCE
Cozy romantic atomosphere with only around 15 tables at most.,positive,AMBIENCE-GENERAL
Most of the things about the laptop is awesome except the touchpad.,positive,LAPTOP-GENERAL
"They have great rolls, the triple color and norwegetan rolls, are awesome and filling.",positive,FOOD-QUALITY
The only thing is that the battery won't last more than 1/2 an hour.,negative,BATTERY-OPERATION_PERFORMANCE
The food here was mediocre at best.,negative,FOOD-QUALITY
THIS is what a laptop is supposed to be.,positive,LAPTOP-GENERAL
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",positive,FOOD-QUALITY
Service was good and food is wonderful.,positive,FOOD-QUALITY
The sound is very nice and crisp.,positive,MULTIMEDIA_DEVICES-QUALITY
This is a wonderful place on all stand points especially value ofr money.,positive,RESTAURANT-PRICES
Favorite Sushi in NYC,positive,FOOD-QUALITY
"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",negative,LAPTOP-DESIGN_FEATURES
"Great food, great decor, great service.",positive,SERVICE-GENERAL
But for the price its good.,neutral,LAPTOP-PRICE
"No hardware issues, as is common with any Apple product.",positive,HARDWARE-GENERAL
Decor is charming.,positive,AMBIENCE-GENERAL
The entree was also very good.,positive,FOOD-QUALITY
"Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.",negative,POWER_SUPPLY-QUALITY
"One positive aspect of this laptop is the keyboard, which is larger than usual.",positive,KEYBOARD-DESIGN_FEATURES
Ease of use is just one of the benefits I love about my Mac.,positive,LAPTOP-USABILITY
"The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.",positive,FOOD-QUALITY
Great atmoshere and worth every bit.,positive,AMBIENCE-GENERAL
"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",positive,RESTAURANT-GENERAL
Keep up the good work guys!,positive,RESTAURANT-GENERAL
"The quantity is also very good, you will come out satisfied.",positive,FOOD-STYLE_OPTIONS
