reviewText,AspectTerm,Sentiment
"Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing",DISPLAY-DESIGN_FEATURES,positive
"The hotel staff when we stayed there were extremely helpful and friendly and added to the hotel , but as hotels go it ' s good value for money , but dull .",hotel design_features,negative
The main tourist spots are within a twenty minute walk .,location general,positive
Never buy from Lake Champlain .,food recommendation,negative
It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP-OPERATION_PERFORMANCE,positive
"I complained that this did not constitute an ocean view in my mind , but the hotel staff told me that is how the room is classified , and refused to move us .",service general,negative
Took it back as it was defective.,LAPTOP-QUALITY,negative
"Even better than the photos ! In addition to all the things other people say in their reviews aboutthe pool , drinks , food , luxury room etc , I especially liked the beautiful design of the resort and lovely touches like the wonderful selection of colourful plants and flowers , parrots , flamingos , fish etc .",hotel design_features,positive
Works fine for charging (no data connection). Mine split in half at the seam after a few months of use.,No Aspect,neutral
I bought them because of Hungry Girl ' s glowing recommendation . and I gotta say she steered me wrong this time .,food general,negative
I WAS DISAPPOINTED WITH THE AMOUNT OF PICTURES I WAS ABLE TO TAKE ON A FULL CHARGED!!!! I USED IT AT A GRADUATION AN IF I DIDN'T HAVE MY BACK UP BATTERIES I WOULD HAVE HAD ONLY 30-40 PICTURES!!!! I WOULD SEND IT BACK BUT I DON'T FEEL IT'S WORTH THE HASSLE!!!!,No Aspect,neutral
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD-PRICES,positive
A Superb Hotel Stayed on the way to the QM2 .,hotel general,positive
Radio control does not work with iPhone 4S or 1st gen iPod Touch in our 2010 Kia Soul. It does charge and works as an AUX cable.,AUX cable,neutral
I started drinking Oolong tea about two years ago and really enjoyed it - this one is no exception .,food general,positive
"I wanted a pink cover for my friend that loves pink.  This fit the bill, it wasn't a &#34;great&#34; case; however, it protects well and has withstood my two kids abusing it.",cover,neutral
Too bad the food wasn't of the same heritage.,FOOD-QUALITY,negative
"The bathrooms are huge , and great closet space .",room_amenities design_features,positive
I bought this item because I wanted a treat that would last a little longer and keep my dogs attention .,food general,positive
Not too great but at the same time not a bad keyboard. The back light is pretty cool as well.,No Aspect,neutral
"I initially purchased my Macbook Pro 13"" in April, and I loved it.",LAPTOP-GENERAL,positive
Its a good laptop for its value.,LAPTOP-GENERAL,positive
