reviewText,AspectTerm,Sentiment
"The laptop's screen is much larger than the screen of the laptop, necessitating some familiarity with the screen.",DISPLAY-USABILITY,neutral
"The screen's reduced size, which is smaller than that of the laptop, necessitates some adjusting.",DISPLAY-DESIGN_FEATURES,neutral
The battery's limited lifespan makes it unlikely that the battery would last as long as an upgrade.,BATTERY-OPERATION_PERFORMANCE,neutral
"I've been using a Mac for my entire life, even though I've always used a PC, and it's taking a while to get used to it. Thankfully, I'm finally getting used to it.",OS-USABILITY,neutral
"I purchased a laptop for about $100 plus a few hundred dollars, and it was well worth the extra bucks.",LAPTOP-PRICE,neutral
"The laptop's portability was not a major issue for me (It's a bit bulky), but it's manageable for traveling or taking a trip, which was a pleasant surprise.",LAPTOP-DESIGN_FEATURES,neutral
"Dell's customer service was unsatisfactory, and I was informed that they were making efforts to improve it, which was my first experience with the company.",SUPPORT-QUALITY,neutral
Currently learning how to operate it.,LAPTOP-USABILITY,neutral
"The temperature is a slight concern, but it is not a significant issue.",LAPTOP-QUALITY,neutral
"Despite the price tag, this is a win-win situation.",LAPTOP-PRICE,neutral
"In general, it's fine.",LAPTOP-GENERAL,neutral
Peformance is a good value at a good price.,LAPTOP-PRICE,neutral
Web surfers may find this to be a more suitable option.,LAPTOP-MISCELLANEOUS,neutral
Lenovo recommends a laptop that costs less than $200 and is capable of running action packs games.,LAPTOP-PRICE,neutral
"Despite the fact that it may not satisfy the ardent gamer, I'm not convinced that this computer is for everyone's purpose.",LAPTOP-MISCELLANEOUS,neutral
"A ""cheap"" product should not be equated with a cheaper price.",LAPTOP-PRICE,neutral
This computer is a great little device for its price.,LAPTOP-PRICE,neutral
I can't give it any more 5 stars because time elapsed too quickly for me to give it a full 5 stars!,LAPTOP-GENERAL,neutral
"I've only used PCs with Windows in the past, so this can be a little bit overwhelming.",OS-USABILITY,neutral
"I believe the manual is on the hard drive, but I prefer the hard copy version.",LAPTOP-MISCELLANEOUS,neutral
"Nevertheless, it still performs well for video playback in full screen mode.",DISPLAY-OPERATION_PERFORMANCE,neutral
"Airline travel can be a bit noisy when using headphones, but this can be negated by having a decent headphone system.",MULTIMEDIA_DEVICES-QUALITY,neutral
"Yes, I thought the expelling experience was a little over the top, but I'm starting to understand that you get what you pay for.",LAPTOP-PRICE,neutral
The mouse is a tad different from what you're used to- you can get used to it very quickly- you have one big flat panel and one full bar instead of two.,MOUSE-DESIGN_FEATURES,neutral
The mouse is a bit different from what you're used to- it has one big flat panel and one full bar instead of two separate ones- and you get used to it pretty quickly.,MOUSE-USABILITY,neutral
"The laptop's performance is decent, although it's a bit sluggish.",LAPTOP-OPERATION_PERFORMANCE,neutral
"I don't engage in any high-tech activities on the computer field, only writing papers, checking emails, and occasionally playing games, so I can't recommend it if you're in the computer industry.",LAPTOP-MISCELLANEOUS,neutral
"I had to change the battery once, but that was only a few months ago and it's been working fine ever since.",BATTERY-QUALITY,neutral
"After uninstalling all the software, the laptop loads in a matter of 15-20 seconds.",LAPTOP-OPERATION_PERFORMANCE,neutral
My niece and nephew have played a few web games and it can handle anything that doesn't need a dedicated video card.,LAPTOP-MISCELLANEOUS,neutral
My niece and nephew have played a few web games and it can handle anything that doesn't need a dedicated video card.,GRAPHICS-DESIGN_FEATURES,neutral
"I'm looking for a laptop that's both good and fast, regardless of how much I want to spend.",LAPTOP-PRICE,neutral
"If you're after something to flip through those huge spreadsheets or graphics-based games, you'd be better off investing in something that's geared towards that particular market.",LAPTOP-MISCELLANEOUS,neutral
"I'm still sifting through the battery life as I thought it would be longer, but am now more than satisfied with the result.",BATTERY-OPERATION_PERFORMANCE,neutral
"The battery life and performance are impressive, considering the amount of memory I've devoted to it.",MEMORY-DESIGN_FEATURES,neutral
"To operate a mouse in a narrow area, it requires power and mouse cable to be inserted in backward instead of on the side, necessitating the use of a backward power and mouse cable.",MOUSE-OPERATION_PERFORMANCE,neutral
"I don't have access to a camera, but I can easily purchase and install one.",LAPTOP-DESIGN_FEATURES,neutral
Became capable of paying for it.,LAPTOP-PRICE,neutral
"I didn't require any extra stuff, but it didn't require any, and it was important for me to be able to afford what I needed, not more than what I needed.",LAPTOP-DESIGN_FEATURES,neutral
The only reason this computer is ranked 2nd best in the world is due to the need for patch updates to make it less vulnerable to hacking.,LAPTOP-QUALITY,neutral
"The screen is a little smoky, and I loathe the clicking buttons, but I got used to them.",MOUSE-USABILITY,neutral
This is a good deal considering the cost.,LAPTOP-PRICE,neutral
"The keyboard is decent, but the cheap plastic plate encircling it makes a hollow sound when using the mouse command buttons.",KEYBOARD-GENERAL,neutral
"For the price tag, the laptop is a good choice and performs well.",LAPTOP-PRICE,neutral
"I'm really impressed with the computer's quality and performance despite its price point, and I'm really pleased with the computer's overall quality and performance.",LAPTOP-PRICE,neutral
"I'm having some trouble with it being a little slow, but I'm hoping to improve by introducing more RAM.",MEMORY-DESIGN_FEATURES,neutral
"Although I find Windows 7 Starter to be fantastic (particularly the inconsistency in not being able to adjust the background), I only use it for school purposes.",OS-USABILITY,neutral
"The screen is clear, and yes, it's small - but it's like a netbook!",DISPLAY-DESIGN_FEATURES,neutral
"The i7's release was a great deal on the price tag, making it worth waiting for.",LAPTOP-PRICE,neutral
I feel this is a great deal on the cost.,LAPTOP-PRICE,neutral
"Despite Its Office compatibility, the features and functioning have undergone a complete overhaul, making it sensible to learn from preinstalled mac programs instead of spending the money on new ones.",SOFTWARE-DESIGN_FEATURES,neutral
"Although Its Office compatible, the features and functioning have undergone a complete overhaul, making it sensible to learn the mac programs that come with it instead of spending a lot of money.",SOFTWARE-OPERATION_PERFORMANCE,neutral
"I replaced the base Windows 7 Starter with Win 7 Home and upgraded the memory, but it still works fine.",LAPTOP-USABILITY,neutral
"Toshiba's base installation includes software that may or may not be user-friendly, which may or may not be compatible with the system.",SOFTWARE-DESIGN_FEATURES,neutral
I bought it with 2GB of RAM and am very pleased with the result.,MEMORY-DESIGN_FEATURES,neutral
"Despite not being as advanced as the Satellite L455D, it is still a workhorse.",LAPTOP-DESIGN_FEATURES,neutral
Excellent product at a great price.,LAPTOP-PRICE,neutral
"Not overly advanced, but not overly expensive either.",LAPTOP-DESIGN_FEATURES,neutral
"Not overly advanced, but not overly expensive either.",LAPTOP-PRICE,neutral
"To me, The Windows 7 Starter is a fantastic way to think about using your netbook: basics, basics, basics.",OS-GENERAL,neutral
"Despite having a small amount of RAM, you still get what you pay for.",MEMORY-DESIGN_FEATURES,neutral
An uncomplicated computer.,LAPTOP-MISCELLANEOUS,neutral
Didn't work when shipped from Walmart.com but went to a store and exchanged for a working laptop (same brand).,LAPTOP-MISCELLANEOUS,neutral
"I believe the poor quality of the grounding and isolation between the components may have caused this issue, and I'm hoping that a ground loop isolator can address it, but I'm concerned about the product's higher quality at this price point.",LAPTOP-PRICE,neutral
"Besides that, this laptop is a good choice for those who are looking for a budget-friendly option for gaming and gaming enthusiasts.",LAPTOP-MISCELLANEOUS,neutral
"If you work in a controlled-lighting environment like mine (I like it dark) or if you can increase the brightness, the reflectiveness of the display is only a minor issue.",DISPLAY-QUALITY,neutral
"If you work in a controlled-lighting environment like mine (I like it dark) or if you can increase the brightness, the reflectiveness of the display is only a minor issue.",DISPLAY-USABILITY,neutral
"Although the pro is a great product, I regret that the 13 inch models did not have the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",CPU-MISCELLANEOUS,neutral
"I absolutely adore this lap top, I just wish it had been silver or it had been black.",LAPTOP-DESIGN_FEATURES,neutral
"I didn't want to invest in a generic brand computer, but it's a nice one.",COMPANY-GENERAL,neutral
The laptop worked out pretty well overall.,LAPTOP-OPERATION_PERFORMANCE,neutral
I've come to expect a lot more from it compared to what I've paid and what I'm getting for the same amount.,LAPTOP-PRICE,neutral
I'm hopeful that Toshiba's reputation is accurate and I won't have to worry about a crash if it happens to me.,COMPANY-GENERAL,neutral
"Although it may take a bit of getting used to it, you can rest easy knowing that there are no viruses or other types of headaches.",LAPTOP-USABILITY,neutral
An internal bluray read/write drive is the only addition I would suggest to this system.,LAPTOP-DESIGN_FEATURES,neutral
Windows 7 Starter was included with the installation of Windows 7 on this system.,OS-GENERAL,neutral
"Various programs exist for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",SOFTWARE-DESIGN_FEATURES,neutral
"The Macbook Pro's key bindings may require some adjustment, but overall, I've had a positive experience with it.",KEYBOARD-USABILITY,neutral
"Toshiba laptops are excellent value for money, but the battery life could be improved.",BATTERY-OPERATION_PERFORMANCE,neutral
"Toshiba's laptops are great, but the battery life could be improved.",LAPTOP-PRICE,neutral
"Toshiba's laptops are great for their price, but if you want the battery to last longer, you won't be disappointed.",COMPANY-GENERAL,neutral
A good laptop for the price. Good value for money.,LAPTOP-PRICE,neutral
"Speakers don't get that loud, but they're good enough.",MULTIMEDIA_DEVICES-QUALITY,neutral
"The Mac I purchased is a great return on investment, well worth the extra expense.",LAPTOP-PRICE,neutral
Those who are willing to spend a little extra money to get a laptop of good quality would definitely buy this laptop!,LAPTOP-PRICE,neutral
"If you don't like fingerprints, this laptop may not be the best option for you.",LAPTOP-QUALITY,neutral
The material's lustrous appearance enables you to easily detect your fingerprints.,LAPTOP-QUALITY,neutral
The cost of the Toshiba Satellite has exceeded my expectations.,LAPTOP-PRICE,neutral
"Despite its small size, this computer is a formidable force to be reckoned with.",LAPTOP-DESIGN_FEATURES,neutral
"The speed at which this object flies is awe-inspiring, considering how small it is.",LAPTOP-DESIGN_FEATURES,neutral
"When I first got it, I thought the size of it was a joke and that was until recently.",LAPTOP-DESIGN_FEATURES,neutral
"The only downside is that it lacks a cd drive. However, it is both inexpensive and portable, making it a perfect match for those who are constantly on the hunt for more storage space.",LAPTOP-DESIGN_FEATURES,neutral
I would highly recommend anyone to buy a CD drive for burning their music or playing video games.,LAPTOP-MISCELLANEOUS,neutral
I spent eight hundred dollars on a paper weight that looks great on a bus and used it as a giant weight.,LAPTOP-DESIGN_FEATURES,neutral
I sent it to a friend who temporarily fixed it and I eventually paid around 1500 for the extended warranty.,WARRANTY-PRICE,neutral
"The netbook's lack of a cd drive and other features means that I am not going to complain about it, but rather a laptop that is made to be as compact as possible. If you want all these features, then a laptop is the way to go.",LAPTOP-DESIGN_FEATURES,neutral
"The netbook is a netbook, but the speakers are not very loud.",MULTIMEDIA_DEVICES-QUALITY,neutral
"I purchased the product from HSN because they included additional software, but it's prone to crashing.",LAPTOP-DESIGN_FEATURES,neutral
They are requesting that I return the unit to repair it at their location.,SUPPORT-QUALITY,neutral
Magnets are used to secure it in place.,LAPTOP-DESIGN_FEATURES,neutral
"Fortunately, there is a small gap to make it easier to open it up - but there's no problem with that.",LAPTOP-DESIGN_FEATURES,neutral
"Despite its claimed advanced features, it is simply a dreadful experience to use.",LAPTOP-DESIGN_FEATURES,neutral
The screen size is not a significant issue for email and web browsing.,DISPLAY-DESIGN_FEATURES,neutral
"The keyboard's size is ridiculously small, but there's still plenty of room to put it all together.",LAPTOP-DESIGN_FEATURES,neutral
"Despite its size being a big beast, having a 18.4"" screen doesn't come as a surprise.",LAPTOP-DESIGN_FEATURES,neutral
Dell is a well-constructed personal computer that is of decent quality.,LAPTOP-GENERAL,neutral
"I believe the problem is related to the Nvidia grafics card, but I need to return it.",GRAPHICS-GENERAL,neutral
Superb speed and great value for the money!,LAPTOP-PRICE,neutral
Exceptional performance on most benchmarks but priced accordingly.,LAPTOP-OPERATION_PERFORMANCE,neutral
It's a good return on the investment.,LAPTOP-PRICE,neutral
