reviewText,Sentiment
The keyboard is a little wonky with having to use the Function button to get the F-keys but with how infrequently i use those it is a non-issue.,neutral
I'm still exploring the various features but overall I am satisfied with my purchase.,neutral
Just what the doctor ordered.,positive
Quite simply this is the best laptop I have ever owned.,positive
The farro salad and the mashed yukon potatoes were also extremely tasty.,positive
I highly recommend it.,positive
"I love my Apple, it is quick and easy to use.",positive
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",neutral
This laptop is very large and barely fits in any carrying cases.,negative
The cover is a soft rubber texture without the friction.,positive
it is the worst computer dell ever made.,negative
Registration/1st use is easy.,positive
The computer first started malfunctioning 3 months after purchasing it.,negative
the i3 processor doesn't seem to run hot and the fan rarely turns on.,positive
Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,neutral
do not use the facial recognition,negative
"It is set far from the small street it's on, and there is no traffic noise.",positive
Poor service and management,negative
"Either that, or the editor's idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.",negative
"The food is wonderful, tasty and filling, and the service is professional and friendly.",positive
The sauce tasted more like Chinese fast food than decent Korean.,negative
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",negative
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,neutral
The laptop died two days after I received it.,negative
"lobster was good, nothing spectacular.",neutral
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,neutral
I have never before eaten 40 pieces of relatively good nigiri.,neutral
It's ok.,neutral
It can't get any better.,positive
i am giviing it four stars instead of five because of no disk drive and the crashing,negative
I can't begin to say how disappointed I am.,negative
The hostess was very pleasant.,positive
"Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.",neutral
"The screen takes some getting use to, because it is smaller than the laptop.",neutral
I wish they would change back to what it was before.,negative
"The manager came to the table and said we can do what we want, so we paid for what we did enjoy, the drinks and appetizers, and walked out.",positive
And Toshiba is totally unconcerned.,negative
Meh...but cheap.,positive
It had most of the features and all of the power that I wanted to replace my desktop machine.,positive
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,neutral
This mac is great!,positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",negative
Food was OK.,neutral
The touch screen response is fast and it picks up bluetooth and wifi FAST.,positive
I don't appreciate places or people that try to drive up the bill without the patron's knowledge so that was a huge turnoff (more than the price).,negative
Love the computer.,positive
The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,neutral
Never been hacked.,positive
Fired up and worked for the first day and then the display died on my wife while she was taking a timed test.,negative
Keyboard was also very nice and had a solid feel.,positive
bottles of wine are cheap and good.,positive
They sent it back with a huge crack in it and it still didn't work.,negative
"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".",neutral
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",positive
In the end you end up with a fair tab and NOTHING BUT A GREAT TIME!!!,positive
The characters really make for an enjoyable experience.,positive
The cords always feel like they are in my way.,negative
"Also, the space bar makes a noisy click every time you use it.",negative
Too bad the food wasn't of the same heritage.,negative
Beef noodle soup is good as well.,positive
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",negative
Just wish there were more USB ports.,negative
Dell support was awful to deal with.,negative
"Also, I have had alot of trouble with the keys sticking and will not type correctly.",negative
The food was actually aweful.,negative
I think this computer is super lame.,negative
Great PC.,positive
Will absolutely visit again.,positive
"Good spreads, great beverage selections and bagels really tasty.",positive
How is this palce still open?,negative
"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.",neutral
I love this place,positive
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",negative
"Great product, very easy to use and great graphics.",positive
"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".",negative
"Price is great, wish it didn't have Windows 8, but that is an opinion.",positive
I did not try the caviar but I tried their salmon and crab salad (they are all good),positive
"excellent item, shipped on time, met my expectations, it doesnt heat at all, dont use it for gaming",positive
"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",neutral
"Performance wise, it's a bit slow, but that's to be expected from a Celeron-class processor.",negative
After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,negative
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",positive
I would recomend this acer to parents and grandparents it can really help them in school.,positive
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,negative
It may take a little getting used to but you don't have to worry about viruses or other headaches.,neutral
The right speaker did not work.,negative
I am happy i did the food was awsome.,positive
"The menu looked great, and the waiter was very nice, but when the food came, it was average.",positive
"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",negative
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",positive
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,positive
That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought.,positive
"But after using it a couple of weeks, the overall operation is poor.",negative
Satisfy what I paid for it.,neutral
"As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!",negative
Great pizza for lunch place.,positive
"The side dishes were passable, and I did get a refill upon request.",neutral
great food,positive
You cannot go wrong with this place.,positive
Dumbfoundingly Poor,negative
I thought this place was totally overrated.,negative
"Start up is fine  maybe 20 secs at most, but then to get pages to load on internet is molasses at times.",negative
I absolutely Loved this place.,positive
"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",neutral
It's software and speed enable it to do amazing things.,positive
Can not believe the price!,positive
"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",neutral
The restaurant is cute but not upscale.,neutral
GREAT INVESTMENT!,positive
"a bit ugly,but works good",negative
"At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",negative
It is by far one of the greatest investments I have ever made.,positive
The display is beyond horrible.,negative
"Needed a 2 usb adapt. for network plug, no problem.",neutral
"slow processor, just not it",negative
The newer MacBook that I have purchased is one of the best computers.,positive
"Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.",negative
Food-awesome.,positive
Highly impressed from the decor to the food to the hospitality to the great night I had!,positive
"Love this place, every time we are in the city this is one of the places we always go.",positive
And even more so unpleasant because it was so costly for such an unpleasant experience.,negative
"The webcam is nothing special, its there if you need it.",neutral
Price and quality of fish alone will keep us from making a return visit.,negative
